company,ticker,listed,rating,rating_date,outlook,rater,note
DL이앤씨,375500,TRUE,AA-,2025-01-01,안정적,NICE신용평가,2019년 이후 AA- 유지 — 최신 평가일 확인 필요
현대건설,000720,TRUE,AA-,2025-02-17,안정적,한국신용평가,KIS 2025-02-17 확인 (3개 신평사 AA- 동일)
GS건설,006360,TRUE,A,2025-12-17,안정적,한국신용평가,검단 사고 이후 A+→A 하향 — KIS 2025-12-17 A 유지 확인
대우건설,047040,TRUE,A,2025-01-01,부정적,한국기업평가,2025년 8천억+ 손실 — 나신평·한기평 부정적 전망 하향 (정확 평가일 확인 필요)
HDC현대산업개발,294870,TRUE,A,2024-07-01,안정적,NICE신용평가,2024년 3개 신평사 BBB+→A 상향 확인 (정확 평가일 확인 필요)
포스코이앤씨,047050,TRUE,A+,2025-12-24,부정적,한국신용평가,3개 신평사 부정적 전망 하향 — KIS 2025-12-24 확인
롯데건설,,FALSE,A,2025-06-17,안정적,한국신용평가,A+→A 하향 후 유지 — KIS 2025-06-17 확인. 비상장
SK에코플랜트,,FALSE,A-,2025-07-11,안정적,한국신용평가,KIS 2025-07-11 확인. 비상장
현대엔지니어링,,FALSE,AA-,2025-01-01,부정적,NICE신용평가,비상장 — 2025초 부정적 전망 변경. 발릭파판 1.1조 손실. 강등 여부 확인 필요
태영건설,009410,TRUE,CCC,2024-01-01,부정적,한국기업평가,워크아웃 진행 중. 3대 신평사 CCC이하/발급거절. 2025년 소규모 신평사 BBB급 부여. 최신 공개등급 확인 필요
