type,party,borrower,guarantee_type,rate_pct,maturity,project_name,amount_bn,remark,as_of_date,source
PF,롯데건설,홈플러스 동대문 개발SPC,시공사 책임준공,,2032-06,홈플러스 동대문점 주상복합 (용두동 49층·417가구),3500,브릿지→본PF 전환. 삼성증권 주관 72개월. 우발채무 861억 해소,2026-06-17,서울경제·헤럴드경제
PF,롯데건설,홈플러스 부천 상동점 개발SPC,시공사 책임준공,,,홈플러스 부천 상동점 주상복합 (부천 상동 540-1 · 지하8~지상49층 7개동 1859가구),15000,키움증권 주관(대출채권 약 7700억 인수) · 우리투자·대신·삼성·한투·교보 참여 · 우발채무 2280억 전액해소,2026-06-01,이투데이(2026-06-02)
PF,,리츠,,,,신도림 디큐브시티,4900,"[자동수집·검증필요] 복수 금융기관으로부터 조달, 5월 대출약정 체결",2026-05-01,이데일리
PF,DL이앤씨,,자금보충약정,,,효제동 오피스,5730,"[자동수집·검증필요] PF 대주는 한국스탠다드차타드은행, 신용협동조합중앙회 및 30개 단위신협",,더벨
PF,태영건설,,,,,네오시티,8000,"[자동수집·검증필요] 8000억 원 한도의 신규 본PF 약정 체결, 1700억 원 대출 실행",,뉴스드림
PF,,,,,,남판교 더힐,900,[자동수집·검증필요] 900억 원 규모 PF 대출 약정 체결,,브릿지경제
PF,스마일게이트,,,,,AI 데이터센터,28000,"[자동수집·검증필요] 산업은행 주관, 민간 자본시장에서 조달",,polinews.co.kr
PF,한화오션,,,,,"신안우이 해상풍력 발전단지 (390MW, 전남 신안군 도초면)",8000,"[자동수집·검증필요] 국민성장펀드 1호 및 미래에너지펀드 1호 투자사업으로 선정, 순수 국내 자본 기반 PF 완료",,Financial Post
PF,롯데건설,,,,72개월,홈플러스 동대문점 주상복합 개발사업,3500,[자동수집·검증필요] 삼성증권 주관으로 진행된 본PF 자금 조달 완료,,wsobi.com
PF,,,,,,승학터널,6061,"[자동수집·검증필요] 기업은행 주관으로 PF 조달 예정, 대출 5315억 포함",,dnews.co.kr
PF,SK에코플랜트,,,,,대구 본리동 공동주택,6000,[자동수집·검증필요] 브릿지론과 본PF 자금보충 약정 포함,,이데일리
PF,메리츠증권 등 대주단,상갈피에프브이,,,2032-04,용인 상갈 공공지원 민간임대주택 개발사업,4000,[자동수집·검증필요] PF 조달 완료,,디지털타임스
PF,주택도시보증공사(HUG),빛고을중앙공원개발,HUG PF 대환보증,,,중앙공원 롯데캐슬 시그니처,14900,"[자동수집·검증필요] 리파이낸싱 완료, 2027년 8월 입주 예정",2026-06,이코노미스트
PF,NH농협은행,,,,,전남광주특별시 챔피언스시티 복합개발,3400,[자동수집·검증필요] NH투자증권 등 범농협 계열사 참여,2026-07-21,금융
